Kalimat,Formalitas
diluar sana justru semua yang bisa didaur ulang digalakkan harus didaur ulang,1
tp mrk bkin plstik tipis yg ktny ramah lingkungn,0
tapi mereka membuat plastik tipis yang menurut mereka ramah lingkungan,1
di swedia tong sampah itu mesin terminal daur ulang ,0
di swedia tong sampah adalah mesin terminal daur ulang,1
jd lu buang lgsg dicuci didaur disitu ,0
jadi ketika kamu buang akan langsung dicuci dan didaur di situ,1
dan kl lu buang sampah plastik ke mesin itu lu dibayar ,0
dan jika kamu membuang sampah plastik ke mesin itu kamu dibayar,1
masukin sampah dapet duit,0
masukkan sampah dan dapatkan uang,1
makanan jg kl bungkus plastik plastiknya campuran dr bahan dasar kertas minyak,0
makanan pun jika bungkusnya plastik maka plastiknya berupa campuran dari kertas minyak,1
jd kedaur gampang tp ttp gk sobek,0
jadi mudah terdaur ulang tapi tetap tidak sobek,1
eh gw baru denger nih berita bayi debora,0
saya baru mendengar berita mengenai bayi debora,1
minta di tuntut rmh sakitnya,0
rumah sakit itu minta dituntut,1
emg dokter skrg bener bgt stigmanya,0
memang dokter sekarang memiliki stigma yang sangat benar,1
dokter cuma duit doang ngincernya,0
dokter hanya mengincar uang,1
makanya gw ud blg kan,0
makanya sudah kukatakan sebelumnya,1
rumah sakit jd dagang nyawa,0
rumah sakit menjadi tempat berdagang nyawa,1
bangkrut sudah itu rmh sakit,0
bangkrutlah rumah sakit itu,1
mnrt lu knp bs gt,0
kenapa menurutmu bisa begitu,1
gw ga merasa binus bs salah atau lupa,0
saya tidak merasa binus bisa melakukan kesalahan atau lupa,1
derry kunci gw lu taruh mana kali ini,0
derry di mana kamu letakkan kunci saya kali ini,1
eh kalian harus gua sidang hr snen ehehehehe,0
kalian harus saya sidang hari senin hahahaha,1
gw aja gk liat lu bawa kuncu,0
saya bahkan tidak melihat kamu membawa kunci,1
hari ini gw ga bawa kunci,0
hari ini saya tidak membawa kunci,1
