Kalimat,Formalitas
jujur gua sendiri gapaham sm tanya,0
jujur saya sendiri tidak paham dengan tanya,1
eh gw ragu yg metode biloks yg mana,0
saya ragu yang mana yang rupa metode biloks,1
trus yg satu lgi apa nama,0
lalu apa nama satu hal lain,1
hal basic lupa hal ribet hapal,0
hal dasar dia lupa sedang hal rumit dia ingat,1
lu pd tau kasus bayi debora ga,0
apakah kalian tahu kasus bayi debora,1
krn ga ada uang dp,0
karena tidak ada uang muka,1
dibiarinin aja sama staf rmh sakit,0
biar begitu saja oleh pegawai rumah sakit,1
kyk enteng bgt gt buat dia,0
seperti sangat mudah untuk,1
cuma rs itu yg dkt rmh mrk,0
hanya rumah sakit itu yang dekat dengan rumah mereka,1
ga tahan sm pajak kertas,0
tidak tahan dengan pajak kertas,1
kita kn ad pabrik kertas,0
padahal kita milik pabrik kertas,1
ada tp kan kertas jg kena bea,0
ada tetapi kertas juga kena bea,1
berapa puluh perak per lembar,0
sekian puluh perak per lembar,1
lah kl cetak buku sebejibun kyk buku dia,0
bagaimana kalau yang cetak adalah buku banyak buku,1
pdhl dy ud ckup limpah luh,0
padahal dia sudah cukup,1
apalagi novel kertas daur ulang,0
apalagi novel dari kertas daur ulang,1
mksd gw dy itu g kekurangn,0
maksud saya dia tidak rang,1
lebi mahal kan kt teknologi daur ulang ga maksimal,0
lebih mahal karena teknologi daur ulang kita tidak maksimal,1
luar sana justru semua yg bs d recycle digalakin harus recycle,0
luar sana justru semua yang bisa daur ulang galak harus daur ulang,1
tp mrk bkin plstik tipis yg ktny ramah lingkungn,0
tapi mereka buat plastik tipis yang turut mereka ramah lingkung,1
di swedia tong sampah itu mesin terminal daur ulang,0
di swedia tong sampah adalah mesin terminal daur ulang,1
jd lu buang lgsg cuci daur situ,0
jadi ketika kamu buang akan langsung cuci dan daur di situ,1
dan kl lu buang sampah plastik ke mesin itu lu bayar,0
dan jika kamu buang sampah plastik ke mesin itu kamu bayar,1
masukin sampah dapet duit,0
masuk sampah dan dapat uang,1
makan jg kl bungkus plastik plastik campur dr bahan dasar kertas minyak,0
makan pun jika bungkus plastik maka plastik upa campur dari kertas minyak,1
jd daur gampang tp ttp gk sobek,0
jadi mudah daur ulang tapi tetap tidak sobek,1
eh gw baru denger nih berita bayi debora,0
saya baru dengar berita kena bayi debora,1
minta di tuntut rmh sakit,0
rumah sakit itu minta tuntut,1
emg dokter skrg bener bgt stigma,0
memang dokter sekarang milik stigma yang sangat benar,1
dokter cuma duit doang ngincernya,0
dokter hanya incar uang,1
makanya gw ud blg kan,0
makanya sudah kata belum,1
rumah sakit jd dagang nyawa,0
rumah sakit jadi tempat dagang nyawa,1
bangkrut sudah itu rmh sakit,0
bangkrut rumah sakit itu,1
mnrt lu knp bs gt,0
kenapa turut bisa begitu,1
gw ga rasa bus bs salah atau lupa,0
saya tidak rasa bus bisa laku salah atau lupa,1
derry kunci gw lu taruh mana kali ini,0
derry di mana kamu letak kunci saya kali ini,1
eh kalian harus gua sidang hr snen ehehehehe,0
kalian harus saya sidang hari senin hahahaha,1
gw aja gk liat lu bawa kuncu,0
saya bahkan tidak lihat kamu bawa kunci,1
hari ini gw ga bawa kunci,0
hari ini saya tidak bawa kunci,1
gw yg gk liat lu bawa kunci,0
saya yang tidak lihat kamu bawa kunci,1
jd kita terus aja ulnya d lanjutin gaada review bab lg,0
jadi kami terus ulang tanpa tinjau ulang lagi,1
gila ya bab ini si banyak luh,0
gila bab ini banyak sekali,1
tapi entah kenapa gua fine ja,0
tapi entah kenapa saya baik baik saja,1
masuk akal semua jadi cepat terima otak,0
semua masuk akal sehingga cepat erti,1
awal gua takut banget wkwkwk,0
awal saya takut sekali hahaha,1
ga kyk si bab awal itu,0
tidak seperti bab pertama,1
ngurus kenapa biji gua nolak jadi taoge aja bisa hari,0
urus biji tanam yang tidak mau tumbuh jadi taoge saja habis hari,1
yang ada jenis jenis itu jason,0
yang ada banyak jenis itu jason,1
jujur turut gua materi genetik sdkt susah,0
jujur turut saya materi genetik sedikit sulit,1
oiya lapor lu brp kertas,0
oh ya lapor kamu habis berapa kertas,1
apa aja jir yg bikin panjang,0
apa saja yang buat panjang,1
analisis sama simpul kali ini gw hrs ganti format,0
untuk analisis dan simpul kali ini saya harus ganti format,1
gw ga paham,0
saya tidak paham,1
jd kl nilai kita jebol guru ada stok buat nambel nilai,0
sehingga jika nilai kami turun guru milik cadang untuk baik nilai,1
angkat kita akan angkat baik akhir,0
angkat kita seperti angkat baik akhir,1
gua liat anak kls laba,0
saya lihat anak anak di kelas kerepot,1
gabisa jawab harus ngulang lagi maju nya next time,0
jika tidak mampu jawab maka harus ulang kembali lain kali,1
pdhl kl geber ga semua bisa,0
padahal walaupun laku dengan intensif belum tentu semua mampu,1
cuma yg ulet doang yg bisa,0
hanya yang rajin yang mampu,1
sampe gw gk nangkep lu ngomong apa,0
sampai saya tidak paham apa yang kamu kata,1
lb tepat kls gw blm situ,0
lebih tepat kelas saya belum di sana,1
jujur gw main logika doang sini,0
jujur saya hanya guna logika sini,1
brrt bener ya kamus gw,0
arti kamu saya benar,1
emg gw baca kamus lu,0
memang saya baca kamus,1
kalian pinjem buku apa tanpa seijin gua,0
buku apa yang kalian pinjam tanpa izin saya,1
catetan ga match sama punya temen,0
catat tidak cocok dengan milik teman,1
jangan pura ga dosa klian,0
kalian jangan pura pura tidak dosa,1
ngaku ga fotocopy catat apa,0
aku catat apa yang fotokopi,1
gw pinjem buku catetan lu aja kaga jir,0
saya bahkan tidak pinjam catat kamu,1
lu oknum yg ambil buku gua,0
kamu oknum yang ambil buku saya,1
maaf saya veto dapat anda,0
maaf saya tolak dapat anda,1
karena gw tidak rasa gw laku itu,0
karena saya tidak rasa laku hal sebut,1
kalo kalian itu pnjm cttn gua lalu d fc lalu d balikin tnpa tahu gua,0
bahwa kalian pinjam catat saya lalu fotokopi lalu kembali tanpa tahu saya,1
ho sptnya narasumber lu sesat,0
seperti narasumber sesat,1
karena gua atau derry ga perna nekat bongkar tas lu,0
karena saya atau derry tidak pernah nekat bongkar tas,1
jangan hancur percaya gua ni,0
jangan hancur percaya saya ini,1
yauda kalo nyata itu memang tidak benar,0
ya sudah jika nyata sebut memang tidak benar,1
tp gw mau usut ini sampe akar,0
tapi saya mau usut ini hingga akar,1
lagipula tas w gaada uang kas lagi,0
lagipula tas saya sudah tidak simpan uang kas lagi,1
krn saya gedek thd konspirasi fitnah,0
karena saya sangat tidak suka hadap konspirasi fitnah,1
cb apa yg kata narasumber lu,0
coba kata apa yang diberitahukan narasumber,1
jadi derry alih perhati gua,0
jadi derry alih perhati saya,1
lu ambl catat gua,0
kamu ambil catat saya,1
lu fc bawah,0
kamu fotokopi bawah,1
lu naik lagi balikin catat gua,0
kamu naik lagi kembali catat saya,1
derry alih gua lg,0
derry alih saya lagi,1
lu tau it cat apa ga,0
apakah kamu tahu catat apa itu,1
hotspot fc catetan biasa bio,0
catat yang sering fotokopi biasa biologi,1
gua dialihin perhati sm derry,0
perhati saya alih oleh derry,1
justru w mau nanya benar,0
justru saya mau tanya benar,1
kata narasumber gua,0
turut narasumber saya,1
michelle gabakal kasi pnjm cttn ini,0
michelle tidak akan pinjam catat ini,1
dan gua berfkir keras cat apa yg bkin kalian kreatif itu,0
dan saya pikir keras catat apa yang buat kalian kreatif itu,1
oh yauda kalo ga buat mah,0
ya sudah jika tidak laku,1
mari kita guna fakta gua benci baca catetan,0
mari kita gabung fakta bahwa saya benci baca catat,1
kl mau fc harus nunggu,0
jika ingin fotokopi maka harus tunggu,1
lu tau catetan lu tebel,0
kamu tahu catat tebal,1
dan mnrt narasumber lu gw yg ambil dan turun fc terus naik lagi,0
dan turut narasumber saya orang yang ambil dan turun fotokopi lalu naik lagi,1
turut lu itu berapa lama jir,0
turut hal itu perlu berapa lama,1
iya awal ga masuk akal juga,0
ya awal hal itu juga tidak masuk akal,1
kl begitu gw hrs pasang mata pasang telinga di kls lu mulai skrg,0
jika demikian saya harus pasang mata pasang telinga di kelas mulai sekarang,1
w jg mkir gamgkn cttn gua d fc dlm wktu singkat,0
saya juga pikir tidak mungkin catat saya fotokopi dalam waktu singkat,1
jd senin sidang maksud lu ini,0
jadi ini yang kamu maksud dengan senin sidang,1
gw sibuk kayany senen jd gua sidang lu dada,0
saya seperti akan sibuk saat senin jadi saya sidang kamu dadak,1
tp karena lu mikir dan ga dapet ide catetan apa yg raib lu nanya sekarang,0
tapi karena kamu pikir dan tidak dapat tentu catat apa yang hilang kamu tanya sekarang,1
kwkw begitu lain kali michelle kl ada yg curiga sangkut kita monggo wae tanya frontal,0
haha kalau begitu lain kali michelle jika ada yang curiga sangkut kami sila tanya langsung,1
gw denger dr narasumber jumat,0
saya dengar dari narasumber pada hari jumat,1
ha jd mnrt dia kami laku itu hari jumat,0
jadi turut dia kami laku hal itu hari jumat,1
klian laku itu bbrp waktu lalu,0
kalian laku hal itu beberapa waktu lalu,1
tp dy g blg kapan,0
tapi dia tidak kata kapan,1
kl dr bahasa brrt kisar minggu ini,0
jika nilai dari bahasa arti sekitar minggu ini,1
dia blg iya jason sndr yg blg,0
dia bilang iya jason sendiri yang bilang,1
coba aja lu tny mrk,0
tanya saja pada mereka,1
kan mrk tmn lu jga,0
bukankah mereka teman juga,1
kalimat itu yg bkin gua mkir bahwa itu bnrn trjd,0
kalimat itu yang buat saya pikir bahwa hal itu sungguh jadi,1
makanya gua samping fakta yg gw punya,0
sehingga saya samping fakta yang saya milik,1
kl dia jujur brrt dia pernah ngomong ama gw,0
jika dia jujur arti dia pernah bicara dengan saya,1
kok lucu ya ini semua wkwkwkwk,0
lucu sekali semua ini hahahaha,1
tp di kls lu gw cuma nyari nicholas tempo hari,0
tapi di kelas kamu saya hanya cari nicholas tiap hari,1
percaya sm w kalo lu usut ini akan jd ribet,0
percaya pada saya jika kamu usut hal ini akan jadi rumit,1
jd jgn ngegas dn jgn ban gua kali ini,0
jadi jangan buru buru dan jangan ban saya kali ini,1
akhir anda rasa derita kls kami,0
akhir anda rasa derita kelas kami,1
kan kalo ga d balikin blm tw nnt snen d balikin ga,0
karena jika tidak kembali saya tidak tahu senin akan kembali atau tidak,1
soalny dia cek latih gitu,0
karena dia ecek latih,1
kek ga bakal balik kl mepet,0
seperti tidak akan kembali jika tidak sempat,1
untung sblm w kmpul udh gua foto,0
untung belum saya kumpul sudah saya foto,1
hrsnya dia yg dpt nick anak kimia,0
harus dia yang dapat panggil anak kimia,1
tp ad bbrp soal gw tls di bku cttn dan itu ga gw foto hm,0
tapi ada beberapa soal saya tulis di buku catat dan tidak saya foto,1
gua hr ni ga ke gereja tu,0
saya hari ini tidak ke gereja,1
pokony relasi yg dkt sm gua kalo nilai ga tingkat mah bohong,0
inti orang orang yang dekat dengan saya tidak mungkin jika nilai tidak tingkat,1
zaman gw msh bisa kimia,0
masa saya masih bisa kimia,1
tp bu sugi pro,0
tapi ibu sugi ahli,1
hbs itu ditegor dulu kelas baru dirayain,0
telah itu satu kelas tegur lebih dahulu baru raya,1
kan lu tau gw tuh susah kimia,0
kamu sudah tahu bahwa saya sulit dalam ajar kimia,1
tau sendiri susah kok lu mala maen ps kemaren,0
kamu tahu bahwa ajar itu susah tetapi mengapa kamu main kemarin,1
jadi anggepannya kita ngerjain semua soal latih ya,0
jadi kita ajar semua soal latih sebut,1
jujur gw udh capek ngertiin bio,0
jujur saya sudah lelah untuk paham biologi,1
blm lagi itu lapor tanya gw lupa,0
lebih lagi saya lupa tanya lapor sebut,1
kyk lu lgi nolak minta bu sugi,0
seperti kamu sedang tolak minta ibu sugi,1
tidak gw bisa bener angka depan,0
tidak saya bisa benar pada angka bagi depan,1
kn gw nny bu guru,0
kan saya tanya ibu guru,1
gmn bs makan analoginy spt ni,0
bagaimana bisa makan jika analogi seperti ini,1
lu tau ga gua laper cuk,0
apakah kamu tahu bahwa saya laper,1
baru gw makan indomie soto sama nasi,0
saya baru saja makan indomie soto dengan nasi,1
bio gua udh kibar bendera putih,0
saya sudah kibar bendera putih untuk ajar biologi,1
mat gua kibar bendera item,0
saya kibar bendera hitam untuk ajar matematika,1
gua tinggal itung kancing kalo gni cara,0
saya hanya tinggal hitung kancing jika begini cara,1
bisa jitak mortal gerus lu,0
kamu dapat jitak dengan mortal gerus,1
demi aapapun pas diajarin itu gua ga kelas,0
kita sedang ajar saya tidak ada di dalam kelas,1
gw di ajarin dan gw lgi cengo pas di ksh tau,0
saya ajar dan saya lagi bengong ketika diberitahukan,1
depan gua mas buku bio,0
depan saya masih buku biologi,1
gw tau lu anak bio tpi bsk ada kimia juga,0
saya tahu anda anak biologi tetapi besok juga ada ajar kimia,1
belum gw bsk sengaja gk msk,0
belum saya sengaja untuk tidak hadir besok,1
liat yg lebih kecil terus di puter,0
lihat yang lebih kecil lalu putar,1
yg hasil itu arti sama,0
yang hasil itu arti sama,1
klo bener arti beres itu,0
jika benar arti sudah selesai,1
benci kali dia ama gua,0
seperti dia sangat benci saya,1
gimana gua itung ph pake listrik,0
bagaimana saya hitung ph guna listrik,1
walaupun metode aga maksa tp gw dpt,0
meski metode kes paksa tetapi saya dapat,1
kita ga diajarin ph sepuh susun seri batere,0
kita tidak ajar ph sepuh dengan susun seri baterai,1
lu suru gua bikin pake catetan orang,0
kamu suruh saya untuk buat catat dengan guna catat orang,1
kata kelas gua lu diajarin,0
turut kelas saya kamu ajar,1
jangan babi buta deh cuk,0
kamu jangan babi buta,1
mungkin ga full diajarinnya tp lmyn la,0
mungkin kamu tidak ajar cara seluruh tetapi cukup juga,1
dan dy ga blg bener apa salah,0
dan dia kata apakah benar atau salah,1
dia cuma liat trus duduk lg,0
dia hanya lihat kemudian duduk kembali,1
lapor bio cara kerja apa aja,0
apa saja yang kerja dalam lapor biologi,1
gw inget bu sugi ada jawabin itu di kertas,0
saya ingat bahwa ibu sugi ada buat jawab pada kertas sebut,1
kertas gw selipin di buku cetak,0
saya selip kertas sebut di dalam buku cetak,1
buku cetakny gw tinggal di kola,0
saya tinggal buku cetak sebut di sekolah,1
knp gua ga tenang,0
mengapa saya tidak tenang,1
mikirin bio melulu,0
pikir biologi cara terus terus,1
malah malemnya gua pantengin bio,0
malah malam itu saya ajar biologi dengan intensif,1
kim gua jadiin anak tiri,0
saya jadi kimia bagai anak tiri,1
tp justru si anak tiri ini yg lancar gw kerjain di ulang,0
tetapi justru anak tiri ini yang lancar saya kerja pada ulang,1
yg paling sayang justru bikin kita kecewa kadang,0
yang paling sayang justru buat kita terkadang makin kecewa,1
salah dmn cara bljr gw,0
mana salah dalam cara ajar saya,1
knpkita jd bljr materi sem dua,0
mengapa kita ajar materi semester dua,1
trs hbs itu dia blg pm ikut lanjut bahas soal yg dr laptop itu,0
kemudian dia kata dalam materi lanjut akan bahas soal dari laptop sebut,1
lu tau kan guru paling unpredict siapa,0
kamu tahu siapa guru yang paling unpredict,1
mgkn hasil alam sekian thn,0
mungkin hasil alam sekian tahun,1
baca pola laku anak masa sma,0
baca pola laku orang anak masa sma,1
msh perlu bantu ga ni gambar,0
apakah gambar ini masih perlu bantu,1
dia jadi butuh pasti dari entah siapa,0
jadi dia butuh pasti dari siapa,1
mungkin dari yg di suroboyo,0
mungkin yang dari surabaya,1
kalo butuh pasti harus berani nanya,0
jika butuh pasti harus berani tanya,1
ah kacau semua kl gw galau belum uji mat,0
semua akan kacau jika saya galau belum uji matematika,1
bu sugi kl mara rem ya,0
ibu sugi seram jika marah,1
baca buku utk ajar vs utk ajar,0
baca buku untuk ajar vs untuk ajar,1
turut lu pada bagus yg mana,0
turut kalian bagus yang mana,1
gw paro teler tp gw liat muka doi ud kusut,0
saya sudah tengah mabuk tetapi saya lihat muka sudah kusut,1
gw maju gw uda panik,0
saya maju saya sudah panik,1
skenario buruk gw salah buku,0
skenario buruk adalah saya salah buku,1
ga urut jd ga baca sama dia,0
tidak urut sehingga dia tidak baca,1
situ gua tau gua salah jawab,0
situ saya tahu saya salah jawab,1
tp jujur si gw ga mikir liat sepuh ph,0
tetapi jujur saya tidak pikir untuk lihat sepuh ph,1
saya bikin di kertas,0
saya kerja di kertas,1
sumpa gua mas depan telen ludah doang,0
sumpah saya masih depan tel ludah,1
ga perna gua liat dia nendang murid keluar kelas,0
saya tidak pernah lihat dia tendang murid keluar dari kelas,1
trus pake acara nyinggung kelas lgi,0
terus guna acara singgung kelas lagi,1
di kelas gua dia ga marah,0
di kelas saya dia tidak marah,1
cuma di paraf doang pny w,0
milik saya hanya paraf saja,1
untung kita ngerjain cara murni,0
untung kita kerja cara murni,1
kok dia b aja d kls gua,0
mengapa dia biasa saja di kelas saya,1
nnt de liat hr dl,0
nanti lihat hari dulu,1
sampe ketika gw ga kerjain soal gampang dia ga terima,0
hingga ketika saya tidak kerja soal gampang dia tidak terima,1
mungkin kl dia nyemprot lu begitu reaksi lu beda,0
mungkin dia akan semprot kamu ketika reaksi kamu beda,1
gua jujur jason kalo gw gabs,0
saya jujur kepada jason jika saya tidak bisa,1
mungkin harus gw fc metode lu,0
mungkin saya harus fotokopi metode kamu,1
metode gua emg kek gt,0
metode saya memang seperti itu,1
org vri nyontek gue wkwk,0
vri sontek dari saya,1
percaya itu vri nyontek gw,0
percaya vri sontek dari saya,1
efek duet kim n bio,0
efek duet kimia dan biologi,1
org jd ga tau mau fokus ke siapa,0
orang jadi tidak tahu ingin fokus kepada siapa,1
siapa yg anak tiri kan,0
siapa yang jadi anak tiri,1
bknny gua kim mat bio wkwkwk,0
bukan saya kimia matematika dan biologi hahaha,1
kenapa dr td siang otot perut gua kejang,0
kenapa sejak tadi siang otot perut saya kejang,1
mksdnya kl gw gerak yg pake otot perut macem bangun dr duduk tegakin badan atau angkat barang sakit masyatrinity,0
maksud saya jika saya laku gera yang guna otot perut seperti bangun dari duduk atau tegak tubuh atau angkat benda rasa sangat sakit,1
salah satu statement kontroversial gusdur,0
salah satu nyata gusdur yang anggap kontroversial,1
itu nyata klo gw gk salh,0
jika saya tidak salah itu nyata,1
dulu dia mau bubarin mpr dpr,0
dulu dia ingin bubar mpr dpr,1
sampe akhir mpr sidang istimewa,0
hingga akhir mpr gelar sidang istimewa,1
salah satu nyata nya yg kontroversial itu apa,0
apa salah satu nyata beliau yang kontroversial,1
lu mau apa lagi,0
apa lagi yang kamu mau,1
nanti kl ngeklik lagi gw tambahin aja sini,0
nanti jika ada hal baru lagi akan saya tambah sini,1
faktor dorong cepat sidang isti mpr,0
faktor dorong cepat sidang istimewa mpr,1
karena nyata mpr dpr bubar,0
karena nyata bubar mpr dpr,1
cepat milu tahun dan beku golkar,0
cepat milu dalam waktu tahun dan beku partai golkar,1
gusdur cuma bentar tp banyak kerja,0
gusdur hanya perintah sebentar akan tetapi beliau sibuk,1
gw baru tau dia kontroversial jir,0
saya baru tahu bahwa dia kontroversial,1
gw tls aja yg dia dekrit kali ya,0
seperti saya tulis saja dekrit yang dia buat,1
trus faktor yg dorong cepat sidang istimewa mpr ap,0
lalu faktor apa yang dorong cepat sidang istimewa mpr,1
selain itu sumpah jabat anggap ga sah karena laku ga cara resmi,0
selain itu sumpah jabat anggap tidak sah karena laku cara tidak resmi,1
jd gua bahas yg ga resmi,0
jadi saya bahas yang tidak resmi,1
nah gua jga blm smpet nanya,0
saya juga belum sempat tanya,1
ah gua salah bego bgt,0
salah saya bodoh sekali,1
materi genetik gw bayar utang,0
materi genetik saya bayar hutang,1
sumpa gua bio kena kim kena,0
sumpah saya biologi kena kimia kena,1
yg ga perna gua harepin,0
yg tidak pernah saya harap,1
syukur sm apa yg lu punya skrg,0
hendak kamu syukur apa yg ada di tangan saat ini,1
karena lu ga tau nanti apa yg hilang dr lu,0
sebab engkau tidak tau apa yang akan hilang daripada di masa yang akan datang,1
siapa tau thn dpn gua jadi bego bio,0
mungkin tahun depan saya jadi bodoh di biologi,1
siapa tau juga thn dpn lu malah kepincut fis,0
mungkin juga tahun depan kamu tarik fisika,1
sama kek gw benci bgt sm kimia,0
sama seperti saya benci sekali dengan kimia,1
malah jd suka sm kimia,0
malah jadi suka sama kimia,1
mulai dr bab brp si lu begitu,0
mulai dari bab berapa kamu begitu,1
kt buta banget sm kim,0
kita sangat buta hadap kimia,1
bego de gue,0
bodoh sekali saya,1
trs materi yg bikin lu mulai demen kim,0
lalu materi yang membuatkamu mulai suka kimia,1
materi yg bkin gua demen,0
materi yang buat saya suka,1
gua tampar nyata pas uh kim prrtama,0
saya tampar nyata ketika ulang kimia pertama,1
gua tekun bab bab lanjut,0
saya tekun bab bab lanjut,1
gua tampar terus di tiap bab,0
saya terus tampar di tiap bab,1
pesan moral jgn pernah mau susul sama busugi,0
pesan moral jangan pernah mau ulang susul sama ibu sugi,1
dia plg benci periksa ulang gelombang dua,0
dia paling benci periksa ulang gelombang dua,1
pesan moral kalo ulang bujuk busugi cek dluan pny lu biar ga penasaran,0
pesan moral jika ulang bujuk ibu sugi periksa milik lebih dahulu supaya tidak penasaran,1
bbrp tuntut baik ekonomi yg harus segera laku oleh perintah habibie apa,0
apa saja beberapa tuntutat baik ekonomi yang harus segera laku oleh perintah habibie,1
gua itu udah kira semua,0
saya sudah kira semua,1
kalo semua meleset dr kira gua arti ada invisible hand aja gitu,0
jika semua meleset dari kira saya maka arti ada intervensi tak lihat,1
entah itu meleset jadi wow ato jadi adow,0
entah itu meleset jadi lebih baik atau jadi lebih buruk,1
cuma itu yg berhub sama ekonomi,0
hanya itu yang hubung dengan ekonomi,1
iy yg eko doang di gambar itu,0
ya di gambar itu hanya kena ekonomi,1
bu sugi kan wkt it liat gw,0
ibu sugi lihat saya waktu itu,1
klo lu yg curhat cuma bisa pasang kuping doang,0
jika kamu yang cerita saya hanya bisa jadi dengar,1
trus busugi ga blg apa lg,0
lalu ibu sugi tidak kata apa apa lagi,1
gk ush ngomomg gitu,0
tidak perlu bicara begitu,1
